4,,0970SUBINSO,WENCHI,mtn,0,0,0,0,0,0,0,0,0,0,0,0,958.2,0.000027,27,0.45,958.2,0.000028,28,0.43,957.2,0.000029,29,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,1608NKWABENG,NKORANZA,mtn,0,0.00000074,0,0,959.2,0.000022,22,0.74,1860,0.000046,46,0.06,958.2,0.000025,25,0.52,1860,0.000044,44,0.07,953.2,0.000028,28,0.36,1860,0.000045,45,0.07,0,0,0,0,0,0,0,0,0,0,0,0
6,,Jamasi,Sekyere South,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Kwame Danso,Sene,tigo,0,0,0,0,0,0,0,0,0,0,0,0,946.7,0.000037,37,0.12,946.7,0.000043,43,0.07,953.7,0.000033,33,0.21,1842,0.000043,43,0.1,1841,0.000045,45,0.07,1841,0,47,0.05,0,0,0,0
4,,NKORANZA,nkoranza,tigo,0,0,0,0,0,0,0,0,950.2,0.000047,47,0.04,1860,0.00004,40,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Techiman,Techiman Municipal,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000032,32,0.25,1851,0.000042,42,0.1,2163,0.000046,46,0.06,0,0,0,0,0,0,0,0,0,0,0,0
10,,Pig Farm,Accra Metropolis,tigo,0,0,0,0,955.1,0.00023588,235.88,0.7,945.7,0.00002137,21.37,0.21,940.2,0.0002099,209.9,0.2,945.7,0.00004669,46.69,0.31,945.7,0.00003092,30.92,0.27,945.7,0.00003373,33.73,0.26,945.7,0.0000284,28.4,0.24,945.7,0.00002514,25.14,0.25,948.9,0.0000262,26.2,0.23
7,,Kibi,ABUAKWA,airtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,Kibi,East Akim Municipal,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0998KWAME_DANSO,SENE,mtn,0,0,0,0,0,0,0,0,1841,0.000054,54,0.03,959.2,0.000022,22,0.7,958.7,0.000026,26,0.45,958.2,0.000023,23,0.68,1860,0.000046,46,0.06,1841,0.000056,56,0.02,1841,0,50,0.04,0,0,0,0
6,,Deduako,EJISU,airtel,0,0,0,0,943.7,0,0,0,951.2,0,0,0,1835,0.000257,0,0,1856,0,0,0,1872,0,0,0,2122,0.000189,0,0,2129,0,0,0,2164,0,0,0,0,0,0,0
