,Bolgatanga,BOLGATANGA,EXPRESSO,959.20,0.00005,50,0.45,1836,0.000067,67,0.13,2163,0.000052,52,0.03,959.2,0.000039,39,0.61,1860,0.000061,61,0.2,2162,0.000047,47,0.06,959.2,0.00005,50,0.45,1836,0.000067,67,0.13,2163,0.000052,52,0.03,,,
UE 0717,BOLGATANGA,BOLGATANGA,MTN,952.20,0.000021,21,0.78,1851,0.000059,59,0.3,2162,0.00005,50,0.08,952.2,0.000028,28,0.39,1833,0.000059,59,0.14,2162,0.000063,63,0.06,959.2,0.000059,59,0.26,1851,0.00005,50,0.25,2163,0.00005,50,0.17,,,
3652,TANZUI,BOLGATANGA,MTN,953.70,0.000024,24,0.55,1860,0.000061,61,0.2,2122,0.000069,69,0.00,958.2,0.000049,49,0.07,1860,0.000063,63,0.13,2122,0.000069,69,,955.2,0.000024,24,0.55,1860,0.000064,64,0.12,2122,0.000069,69,0,,,
UE 2958,ZAARE,BOLGATANGA,MTN,955.20,0.000023,23,0.69,1854,0.000052,52,0.03,2163,0.000064,64,0.00,955.2,0.000021,21,0.85,1854,0.00005,50,0.03,2163,0.000064,64,0.00,955.2,0.000024,24,0.65,1854,0.000046,46,0.06,2162,0.000056,56,0.04,,,
UEB 5523,BOLGA_POLY_CAMPUS,BOLGATANGA,VODAFONE,953.7,0.000023,23,0.68,1854,0.000056,56,0.07,2138,0.000061,61,0.01,954.7,0.000026,26,0.59,1880,0.000069,69,0.12,2138,0.000053,53,0.03,958.7,0.000039,39,1.72,1854,0.000048,48,0.14,2126,0.000059,59,0.01,,,
2606,2606BOLGA_3,BOLGATANGA,MTN/ VODAFONE,953.2,0.000019,19,0.97,1853,0.000054,54,0.39,2162,0.000038,38,0.17,958.2,0.000019,19,1.06,1833,0.000051,51,0.13,2163,0.000041,41,0.12,959.2,0.000054,54,1.08,1853,0.000057,57,0.13,2163,0.000045,45,0.07,,,
0718,0718BOLGATNGA_2,BOLGATANGA,MTN,958.7,0.000039,39,1.43,1860,0.000061,61,0.36,2162,0.000041,41,0.12,959.2,0.000049,49,1.85,1860,0.000059,59,0.31,2163,0.000047,47,0.06,958.7,0.000039,39,1.01,1854,0.000059,59,0.14,2162,0,,,,,
UEB 5520A,BOLGATANGA,BOLGATANGA,VODAFONE,957.2,0.00005,50,0.45,1841,0.000051,51,0.46,2164,0.000053,53,0.31,959.2,0.000043,43,0.49,1860,0.000057,57,0.27,2160,0.000054,54,0.41,950.7,0.000038,38,0.44,1860,0.000062,62,0.16,2162,0.000041,41,0.14,,,
2949,BOYA,BOYA,MTN,956.20,0.000023,23,0.68,,,,,,,,,955.3,0.000023,23,0.65,,,,,,,,,958.2,0.000047,47,0.63,,,,,,,,,,,
,BUGRI,BUGRI,VODAFONE,949.70,0.000027,27,0.42,,,,,,,,,949.7,0.000033,33,0.2,,,,,,,,,945.2,0.000034,34,0.18,,,,,,,,,,,
