,3600ANYINASUSO,AHAFO ANO SOUTH,MTN,954.2,0.00000091,,0.91,,,,,,0.000019,,,955.2,0,,1.06,1830,0.0009552,,0,,0,,,955.2,,,0.47,,,,,,,,
,Dwoamin,AMANSIE,AIRTEL,918.8,0.000321,,,921.7,,,,930.2,,,,1800,0.000312,,,1809,,,,1818,,,,2121,0.000214,,,2129,,,,2139,,,
,Jacobu - Ashanti,AMANSIE,AIRTEL/TIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS438/1859,Manso Adubia,AMANSIE,TIGO,922.7,0.0000813,,,931.2,,,,947.2,,,,1815,0.0000858,,,1824,,,,,,,,,,,,,,,,,,,
CS4609/1825,NYINAHIN,AMANSIE,TIGO,946.7,0.000857,,,939.2,,,,946.7,,,,1823,0.000453,,,1816,,,,,,,,,,,,,,,,,,,
CS2547,Anwia Nkwanta,AMANSIE  CENTRAL,TIGO,930.2,0.000125,,,938.7,,,,953.7,,,,1829,0.00086,,,,,,,,,,,,,,,,,,,,,,
CS3857/1822,Jacobu,AMANSIE CENTRAL,TIGO/AIRTEL,931.2,0.048299,,,937.7,,,,954.7,,,,,0.00182,,23.59,1844,,,,1860,,,,,,,,,,,,,,,
CS2B71/ASB1011,0380BEKWAI_RBT,AMANSIE EAST,MTN,937,0.00033,,,947.2,,,,951.2,,,,1806,0.000308,,,1836,,,,1844,,,,2136,0.0000433,,,2163,,,,2170,,,
CS0526/0686,0686JACOBU,AMANSIE EAST,MTN/AIRTEL,931.2,0.000889,,,939.2,,,,954.2,,,,1844,0.001471,,,1860,,,,1874,,,,,,,,,,,,,,,
CS0528/AR0688,0688BEKWAI,AMANSIE EAST,MTN,931.7,0.00058,,,958.7,,,,959.7,,,,1805,0.0000442,,,1921,,,,1844,,,,2123,0.000325,,,2163,,,,,,,
ARO95/CS0164,0951AKROKERRI,AMANSIE EAST,MTN,936.2,0.000509,,,958.2,,,,959.3,,,,1824,0.00004,,,1852,,,,1860,,,,2162,0.000401,,,,,,,,,,
CS0701/AR0969,0969POANO,AMANSIE EAST,MTN,925.2,0.000316,,,952.7,,,,959.2,,,,1823,0.000037,,,1831,,,,1853,,,,,,,,,,,,,,,
CS1081,1686BEKWAI_2,AMANSIE EAST,MTN,931.7,0.00044,,,954.7,,,,959.7,,,,1806,0.000067,,,1823,0.001839,,,2139,,,,2139,0.0000542,,2163,2170,,,,,,,
CS1422/2649,2649AW_KWANTA,AMANSIE EAST,MTN,938.7,0.000405,,,956.7,,,,,,,,1802,0.0000562,,,1829,,,,1860,,,,,,,,,,,,,,,
CS 1461,2690AMENASE,AMANSIE EAST,MTN,946.2,0.00051505,,,953.2,,,,938.2,,,,1806,0.00003649,,,1844,,,,,,,,2121,,,,2161,,,,,,,
CS173/2983,2983ASIWA,AMANSIE EAST,MTN,947.2,0.000764,,,955.9,,,,959.2,,,,1821,0.000186,,,1847,,,,1867,,,,,,,,,,,,,,,
CS1747/AR2997,2997TEBESO,AMANSIE EAST,MTN,944.2,0.000194,,,950.2,,,,962.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS175/36O1,3601FERESO,AMANSIE EAST,MTN,936.7,0.000385,,,944.1,,,,954.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS1752,3602SANFO_ADUM,AMANSIE EAST,MTN,934.2,0.000491,,,944.2,,,,952.2,,,,1842,0.0000293,,,,,,,,,,,,,,,,,,,,,,
CS1758/AR3608,3608MEDOMA_AR,AMANSIE EAST,MTN,926.7,0.000298,,,958.7,,,,959.2,,,,1823,0.0000448,,,1851,,,,,,,,,,,,,,,,,,,
CS1782/3682,3632BEKWAI_3,AMANSIE EAST,MTN,944.2,0.000388,,,955.2,,,,959.2,,,,1821,0.0000639,,,1830,,,,,,,,,,,,,,,,,,,
CS 1998/3949,3949OFO_KOKOBEN,AMANSIE EAST,MTN,947.2,0.00089917,,,952.7,,,,959.2,,,,1829,0.00046585,,,,,,,,,,,,,,,,,,,,,,
CS2090ASB1197,ABESEWA,AMANSIE EAST,VODAFONE,924.7,0.00022,,,938.7,,,,946.2,,,,1842,0.000107,,,1875,,,,,,,,,,,,,,,,,,,
CS2494/ASB1198,AMANFUR_BOGYAWE,AMANSIE EAST,VODAFONE,937.2,0.0001,,,944.2,,,,959.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2548/ASR1136,ANWIANKWANTA,AMANSIE EAST,VODAFONE,948.2,0.000176,,,953.2,,,,959.7,,,,1821,0.002838,,,1830,,,,1860,0.000076,,,,,,,,,,,,,,
CS2867/ASB1221,BEKWAE_ADANKRAGYA,AMANSIE EAST,Vodafone,922.7,0.00023435,,,932.2,,,,934.3,,,,1806,0.00088971,,,1832,,,,1844,,,,,,,,,,,,,,,
CS3660/ASR112O,FERESO,AMANSIE EAST,VODAFONE,921.7,0.000538,,,954.7,,,,939.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ntonso,AMANSIE EAST,Airtel,919.7,0.00037528,,,924.7,,,,960.2,,,,1810,0.0000887,,,1821,,,,1835,,,,2127,0.00011421,,,2138,,,,2188,,,
CS474,0474ASOKORE_MPG,AMANSIE WEST,MTN,944.2,0.0000895,,,958.7,,,,958.2,,,,1823,0.0000591,,,,,,,,,,,,,,,,,,,,,,
CS1005/1601,1601ANTOAKUROM,AMANSIE WEST,MTN,944.2,0.00058,,,951.2,,,,959.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS1077/AR1674,1674MANSO_ATWRE,AMANSIE WEST,MTN,946.7,0.000138,,,958.2,,,,959.7,,,,1821,0.0000483,,,1813,,,,1860,,,,2134,0.0000634,,,,,,,,,,
1394/2620,2620MANS_EDUBIA,AMANSIE WEST,MTN,943.7,0.000484,,,952.1,,,,956.2,,,,1821,0.0000733,,,1843,,,,1860,,,,,,,,,,,,,,,
CS1452,2681BONSAASO,AMANSIE WEST,MTN/AIRTEL,921.7,0.000368,,,931.7,,,,953.2,,,,1830,0.0000619,,,1859,,,,1864,,,,2128,0.000303,,,,,,,,,,
CS1808/GH0735,3665KYREKYREKRO,AMANSIE WEST,MTN,957.2,0.000349,,,959.7,,,,,,,,1820,0.000179,,,1860,,,,,,,,2117,0.000226,,,2128,0.000216,,,,,,
CS1809 ,3666DATANO,AMANSIE WEST,MTN/AIRTEL,933.2,0.000196,,,955.2,,,,929.2,,,,1821,0.0000588,,,1830,,,,1860,,,,2152,0.000216,,,2152,,,,2168,,,
200/1202,3952MANSO_ABORE,AMANSIE WEST,MTN,946.2,0.000489,,,958.2,,,,959.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2004/1711,3966ASSUOWIN,AMANSIE WEST,MTN,945.2,0.00051,,,953.2,,,,959.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2361/ASR1226,AGROYESUM,AMANSIE WEST,VODAFONE,957.7,0.000318,,,,,,,,,,,1812,,,,1860,,,,,,,,,,,,,,,,,,,
CS237/ASB1165,AHWEREWA,AMANSIE WEST,VODAFONE,936.2,0.000119,,,944.2,,,,959.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS 2542/Asb 1134,AHWEREWA,AMANSIE WEST,Vodafone,935.2,0.00018917,,,939.2,,,,959.7,,,,1868,0.00002468,,,1877,,,,,,,,2127,0.00021421,,,2138,,,,,,,
CS4381,Manso Agroyesum,AMANSIE WEST,Tigo,935.7,0.00001309,,,942.2,,,,955.2,,,,1821,0.00007431,,,1830,,,,,,,,2123,0.00013917,,,2138,,,,,,,
CS4387,Manso Nkwanta,AMANSIE WEST,TIGO,936.7,0.0000251,,,944.7,,,,953.7,,,,1812,0.000138,,,1823,,,,,,,,,,,,,,,,,,,
CS4388/ASP1072,MANSO_NKWANTA_GT,AMANSIE WEST,VODAFONE,946.2,0.000435,,,958.7,,,,959.2,,,,1814,0.000159,,,1824,,,,,,,,,,,,,,,,,,,
,Agogo,ASANTE AKIM,Airtel,955.2,0.0003135,,,959.2,,,,950.2,,,,1800,0.00002381,,,,,,,,,,,2122,0.00084518,,,2164,,,,,,,
,Agogo_2,ASANTE AKIM,Airtel,931.7,0.00068394,,,932.7,,,,950.2,,,,1800,0.00002849,,,1805,,,,1810,,,,2122,0.00084518,,,2164,,,,2129,,,
,Bekwai_2,ASANTE AKIM,Airtel,913,0.00013889,,,954.7,,,,944.7,,,,1818,0.0000781,,,1821,,,,1825,,,,,,,,,,,,,,,
AR0640,0640KONONGO,ASANTE AKIM NORTH,MTN,1957.7,0.000034,,0.18,1830,0.000046,,0.06,,,,,959.2,0.000044,,0.05,1830,0.00006,,0.03,,,,,,,,,9587.7,0.00004,,0.08,1830,0.000061,,0
685,0685AGOGO_ASHNT,ASANTE AKIM NORTH,MTN/AIRTEL,959.2,0.00005,,0.22,1860,0.000069,,0.06,959.2,0.00003,,0.29,1823,0.00005,,0.29,1823,0.00005,,0.04,,0,,,959.2,0.000049,,0.2,1860,0.000069,,0.04,,0,,
,0941KONONGO_2,ASANTE AKIM NORTH,MTN,954.2,0.00002,,0.88,1851,0.000069,,0.88,,,,,958.1,0.000082,,0.8,1851,0.000063,,0,,,,,959.2,0.000062,,0.82,1851,0.000064,,0,,0,,
,0982AGOGO_2,ASANTE AKIM NORTH,MTN,958.2,0.000029,,0.32,1860.2,0.000063,,0.14,2162,0.000044,,0.08,958.2,0.000048,,0.18,1860,0.000065,,0.1,2170,0.000069,,0.19,958.2,0.000029,,0.32,1860,0.000063,,0.14,2162,0.000044,,0.08
3637,3637EJISU_3,ASANTE AKIM NORTH,MTN,953.7,0.000028,,0.71,1880,0.00007,,0,2161,0.000063,,0.19,956.7,0.000024,,0.55,1880,0.000067,,0.01,2170,0.000067,,0.14,954.7,0.000031,,0,1860,0.000066,,0,2151,0.000065,,0.11
1268,Agogo,ASANTE AKIM NORTH,TIGO,956.7,0.000043,,0.13,1860,0.000068,,0.8,2163,0.000053,,0.08,945.2,0.000045,,0.04,1860,0.00007,,0.02,2162,0.000065,,0,955,0.000048,,0.03,1860,0.000067,,0.01,2162,0.00007,,0.01
GH0097,Agogo,ASANTE AKIM NORTH,AIRTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
