2149,DCS_ST_JOHN_OFANKOR,NO,,YES ,,YES,,NO,null,NO,,NO,,NO,DSCF5337,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,null,YES,,YES,,YES,,,,NO,DSCF5335,,,,,,,,,,,YES,,YES,,NO,,NO,,,,NO,null,YES,,YES,,YES,,YES,,YES,
2149,DCS_ST_JOHN_OFANKOR,NO,,YES ,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,,,NO,,,,,,,,,,,,YES,,YES,,NO,,NO,,,,NO,,YES,,YES,,YES,,YES,,YES,
2148,DCS_NUNGUA_BARRIER_OT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2148,DCS_NUNGUA_BARRIER_OT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2147,DCS_NEW_ACHIMOTA_OT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,,,NO,,,,,,,,,,,,YES,,YES,,NO,,NO,,,,NO,,YES,,YES,,YES,,YES,,YES,
2147,DCS_NEW_ACHIMOTA_OT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,,,NO,,,,,,,,,,,,YES,,YES,,NO,,NO,,,,NO,,YES,,YES,,YES,,YES,,YES,
2143,DCS_ASHONGMAN_GT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,,,YES,,YES,,YES,,,,,,,,YES,,YES,,NO,,NO,,,,YES,,YES,,YES,,YES,,YES,,YES,
2143,DCS_ASHONGMAN_GT,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,,,YES,,YES,,YES,,,,,,,,YES,,YES,,NO,,NO,,,,YES,,YES,,YES,,YES,,YES,,YES,
2139,DAWA,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2139,DAWA,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2139,DAWA,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2139,DAWA,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2137,Darkuman Official Town,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,,,,,,,,,,,,,,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,
2137,Darkuman Official Town,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,,,,,,,,,,,,,,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,
2134,Dansoman(old2),YES,,,,YES,,,,,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2134,Dansoman(old2),YES,,,,YES,,,,,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2133,DANSOMAN ST. ANTHONY,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
2133,DANSOMAN ST. ANTHONY,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,,,,,YES,,YES,,YES,,YES,,YES,
