UWR 2638,2638FUNSI,FUNSI,MTN,959.2,0.000059,59,0.4,,,,,,,,,956.2,0.000051,51,0.32,,,,,,,,,956.7,0.000032,32,0.24,,,,,,,,
,GWOLLU,GWOLLU,TIGO ,953.2,0.00005,50,0.21,1860,0.000069,69,0.04,,,,,950.2,0.00005,50,0.58,1860,0.000069,69,0.06,,,,,945.7,0.00004,40,0.25,1860,0.000069,69,0.09,,,,
GH 0268,GWOLLU,GWOLLU,AIRTEL ,958.2,0.000059,59,0.14,1860,0.000068,68,0.05,,,,,958.2,0.000059,59,0.15,1832,0.000051,51,0.03,,,,,955.2,0.000059,59,0.16,1838,0.000051,51,0.03,,,,
UE1669,1669GWALLU,GWOLLU,MTN,952.7,0.000027,27,0.4,1860,0.00007,70,0.03,,,,,957.7,0.000036,36,0.14,1860,0.000069,69,0.04,,,,,953.2,0.000033,33,0.23,1860,0.00007,70,0.02,,,,
UWB 6011,GWALLU_GT,GWOLLU,VODAFONE,951.2,0.000035,35,0.15,1860,0.000059,59,0.29,1860,0.000059,59,0.29,947.7,0.000062,62,0.08,1851,0.000039,39,0.32,,,,,951.2,0.000035,35,0.18,1860,0.000063,63,0.14,,,,
2973,2973HAN,HAIN,MTN,959.2,0.00034667,346.67,0.02,1860,0.00002993,29.93,0,,,,,959.2,0.00025332,253.32,0.02,1809,0.00000107,1.07,0.03,,,,,959.2,0.00025826,258.26,0.01,1809,0.00051933,519.33,0.02,,,,
1572,Han,HAIN,TIGO,939.7,0.00004883,48.83,0.01,1809,0.00072198,721.98,0.02,,,,,959.2,0.00001236,12.36,0,1809,0.0000018,1.8,0.04,,,,,952.7,0.00010295,102.95,0.01,1809,0.00059537,595.37,0.02,,,,
UWB-6004,HAN_GBC,HAIN,VODAFONE,949.7,0.00009679,96.79,0.01,1809,0.00076438,764.38,0.02,,,,,959.7,0.00012284,122.84,0.01,1832,0.00093472,934.72,0.03,,,,,959.7,0.00012223,122.23,0.01,1809,0.00054543,545.43,0.02,,,,
2973,2973HAN,HAIN,MTN,952.7,0.000019,19,1.03,1835,0.000057,57,0.01,,,,,959.2,0.000045,45,0.8,1830,0.000061,61,0.01,,,,,953.7,0.000021,21,0.79,1836,0.000062,62,0.01,,,,
6010,Hamile,Hamile,AIRTEL/VODAFONE,940.2,0.0000782,78.2,0.01,1809,0.00000002,0.02,0.03,,,,,946.7,0.00016365,163.65,0.01,1803,0.0000012,1.2,0.03,0,0,0,0,946.2,0.00013559,135.59,0.01,1805,0.00034412,344.12,0.01,0,0,0,0
1567,Hamile,Hamile,TIGO,946.7,0.00003899,38.99,0,180.3,0.00046021,460.21,0.02,,,,,959.2,0.00014874,148.74,0.01,1802,0.00097438,974.38,0.03,0,0,0,0,946.7,0.00001727,17.27,0.01,1806,0.00019158,191.58,0.01,0,0,0,0
UE2971,2971JEFFISI,JEFFISI,MTN,958.2,0.000053,53,1.04,,,,,,,,,956.7,0.000021,21,0.97,,,,,,,,,953.2,0.000024,24,0.6,,,,,,,,
696,0696JIRAPA,JIRAPA,VODAFONE/MTN,944.7,0.00002618,26.18,0,1808,0.00006407,64.07,0.01,,,,,953.2,0.00003709,37.09,0.02,1874,0.0006241,624.1,0.01,,,,,955.2,0.00013376,133.76,0.03,1872,0.00016447,164.47,0.01,,,,
UWR 6023,JIRAPA_GSM,JIRAPA,VODAFONE,939.3,0.00001764,17.64,0,1830,0.00011627,116.27,0.01,0,0,0,0,945.2,0.00003806,38.06,0.01,1833,0.00006204,62.04,0.02,0,0,0,0,940.2,0.00016247,162.47,0.01,1807,0.00006348,63.48,0.01,0,0,0,0
,JIRAPA,JIRAPA,TIGO,959.7,0.00000765,7.65,0.01,1809,0.00012167,121.67,0,0,0,0,0,955.2,0.00003063,30.63,0.01,1821,0.00011227,112.27,0,0,0,0,0,955.2,0.0000075,7.5,0,1879,0.00002764,27.64,0.02,0,0,0,0
696,JIRAPA,JIRAPA,MTN,944.7,0.00002618,26.18,0,1808,0.00006407,64.07,0.01,0,0,0,0,953.2,0.00003709,37.09,0.02,1874,0.0006241,624.1,0.01,0,0,0,0,955.2,0.0001337,133.7,0.03,1872,0.00016447,164.47,0.01,0,0,0,0
UE3698,3698KOJOPERE,KAJIKPERE,MTN,952.2,0.00002,20,0.96,,,,,,,,,953.7,0.000019,19,1.02,,,,,,,,,953.7,0.000023,23,0.63,,,,,,,,
UWR-1670,1670KALEO,KALEO,MTN,954.2,0.00013432,134.32,0.02,1809,0.00011207,112.07,0.01,0,0,0,0,958.7,0.00005417,54.17,0.01,1807,0.00010267,102.67,0.01,0,0,0,0,953.2,0.00010527,105.27,0.01,1809,0.00011639,116.39,0.01,0,0,0,0
2966,2966KARNI,KARNI,MTN,953.7,0.00011328,113.28,0,1809,0.00074086,740.86,0.02,,,,,953.2,0.00013321,133.21,0.01,1803,0.00046466,464.66,0.02,,,,,952.2,0.00011336,113.36,0.01,1806,0.00000172,1.72,0.04,,,,
2969,2969KPAGURI_EST,KPAGURI-EST,MTN,958.7,0.000039,39,1.1,1853,0.000063,63,0.02,2162,0.000038,38,0.17,958.2,0.000031,31,1.05,1853,0.00006,60,0.01,2162,0.000039,39,0.17,954.2,0.000018,18,1.24,1851,0.00006,60,0.01,2163,0.000046,46,0.07
