region,Site name,Is the  site  well cleaned and maintained?,,
1217,NTWAABAN,-1,8,NTWAABAN/cs5232_ct0004_se0016_1351259074390.jpg
1270,OPPONG VALLEY,-1,8,OPPONG VALLEY/cs5256_null_null_1352122323744.jpg
1284,PALMLAND,-1,8,PALMLAND/cs5453_null_null_1351521527419.jpg
937,KETE KRACHI AIRTEL,-1,8,KETE KRACHI AIRTEL/DSC00090.jpg
2,0146 SOMANYA AIRTEL,-1,8,0146 SOMANYA AIRTEL/DSC00703.jpg
1021,KROBO ODUMASE,-1,8,KROBO ODUMASE/DSC00884.jpg
1387,SUHUM,-1,8,SUHUM/DSC01547.jpg
973,Koforidua 6,-1,8,Koforidua 6/DSC01905.jpg
971,Koforidua 4,-1,8,Koforidua 4/DSC02109.jpg
988,KOFO-SSNIT,-1,8,KOFO-SSNIT/DSC02254.jpg
1136,NARKWA MTN,-1,8,NARKWA MTN/DSC02739.jpg
1093,MANKESSIM MTN,-1,8,MANKESSIM MTN/DSC02813.jpg
1095,MANKESSIM VODAFONE,-1,8,MANKESSIM VODAFONE/DSC02936.jpg
1110,MOREE JUNCTION,-1,8,MOREE JUNCTION/DSC03404.jpg
1109,MOREE 2 MTN,-1,8,MOREE 2 MTN/DSC03572.jpg
1111,MOREE MTN,-1,8,MOREE MTN/DSC03623.jpg
5046,Brofoyedru,-1,8,Brofoyedru/DSC05536.jpg
1094,Mankessim old 144,-1,8,Mankessim old 144/DSC05629.jpg
6858,0163TRADE_FAIR2,-1,8,0163TRADE_FAIR2/DSCF1186.jpg
2487,TEMA 1,-1,8,TEMA 1/DSCF1248.jpg
2145,MICHEL CAMP SANCO 4,-1,8,MICHEL CAMP SANCO 4/DSCF1469.jpg
2306,MICHEL_CAMP_SANCO_4,-1,8,MICHEL_CAMP_SANCO_4/DSCF1469.jpg
2417,Pokuase Hill,-1,8,Pokuase Hill/DSCF5261.jpg
2414,POKUASE,-1,8,POKUASE/DSCF5261.jpg
2303,medie mtn,-1,8,medie mtn/DSCF5404.jpg
2302,medie airtel,-1,8,medie airtel/DSCF5404.jpg
2520,Trasacco 1800,-1,8,Trasacco 1800/DSCF5525.jpg
1589,Winneba 3 MTN,-1,8,Winneba 3 MTN/DSCI0032.jpg
1411,Swedro Tigo,-1,8,Swedro Tigo/DSCI0151.jpg
312,Agona Swedru MTN,-1,8,Agona Swedru MTN/DSCI0180.jpg
5965,Assin Sibenso,-1,8,Assin Sibenso/DSCI0401.jpg
5161,Bediadua,-1,8,Bediadua/DSCI0453.jpg
1219,Nyakrom 2 MTN,-1,8,Nyakrom 2 MTN/DSCI0597.jpg
1231,Nyanyano MTN,-1,8,Nyanyano MTN/DSCI0676.jpg
222,Abura Dunkwa 2,-1,8,Abura Dunkwa 2/DSCI0769.jpg
1594,Winneba GT Vodafone,-1,8,Winneba GT Vodafone/DSCI1241.jpg
1002,KPANDO TIGO,-1,8,KPANDO TIGO/DSCN0025.jpg
642,CHINDIRI(VODAFONE),-1,8,CHINDIRI(VODAFONE)/DSCN0146.JPG
1193,NKWANTA MTN,-1,8,NKWANTA MTN/DSCN0340.jpg
1153,NEW NYOMA,-1,8,NEW NYOMA/DSCN0507.jpg
879,JASIKAN,-1,8,JASIKAN/DSCN0669.jpg
761,DZODZE(MTN),-1,8,DZODZE(MTN)/DSCN1906.JPG
1628,ZIOPE VOD,-1,8,ZIOPE VOD/DSCN2209.jpg
291,AFLAO(TIGO),-1,8,AFLAO(TIGO)/DSCN2337.JPG
2083,Awoshie A-Lang Tigo,-1,8,Awoshie A-Lang Tigo/DSCN2684.jpg
2082,Awoshie A-Lang,-1,8,Awoshie A-Lang/DSCN2684.jpg
930,KETA 1,-1,8,KETA 1/DSCN2728.jpg
2247,KWASHIEMAN MTN,-1,8,KWASHIEMAN MTN/DSCN2826.jpg
2411,Pentecost Junction,-1,8,Pentecost Junction/DSCN2876.jpg
2456,South Ablekuma,-1,8,South Ablekuma/DSCN2904.jpg
2456,south ablekuma,-1,8,south ablekuma/DSCN2905.jpg
2456,south ablekuma,-1,8,south ablekuma/DSCN2905.jpg
1182,NKONYA MTN,-1,8,NKONYA MTN/DSCN3004.jpg
859,HO NUWE,-1,8,HO NUWE/DSCN3192.jpg
840,HO 3 MTN,-1,8,HO 3 MTN/DSCN3217.jpg
1773,ASHTOWN AHEABOANO,-1,8,ASHTOWN AHEABOANO/DSCN3241.jpg
848,HO BANKOE AIRTEL,-1,8,HO BANKOE AIRTEL/DSCN3293.jpg
1235,NYIVE MTN,-1,8,NYIVE MTN/DSCN3429.jpg
585,BEREKUM EXPRESSO,-1,8,BEREKUM EXPRESSO/DSCN6261.JPG
580,BEREKUM,-1,8,BEREKUM/DSCN6588.JPG
2249,9 LA,-1,8,9 LA/IMG_0819.JPG
2260,10 LABONE,-1,8,10 LABONE/IMG_0916.JPG
2534,West Cantonments(old37),-1,8,West Cantonments(old37)/IMG_0965.jpg
1312,PRESTEA GT,-1,8,PRESTEA GT/null_ct0007_se0053_1350987924070.jpg
1382,SSNIT AIRTEL,-1,8,SSNIT AIRTEL/PB110212.jpg
921,KATARIGA TIGO,-1,8,KATARIGA TIGO/PB120386.jpg
40,1629DIARA_KADIA,-1,8,1629DIARA_KADIA/PB140756.jpg
708,DIARI VODAFONE,-1,8,DIARI VODAFONE/PB140762.jpg
1295,PIGU MTN,-1,8,PIGU MTN/PB140784.jpg
1294,PIGU AIRTEL,-1,8,PIGU AIRTEL/PB140815.jpg
1085,LOAGARI(TAMALE-B-ROAD 04),-1,8,LOAGARI(TAMALE-B-ROAD 04)/PB140862.jpg
57,1653 WULUGU MTN,-1,8,1653 WULUGU MTN/PB140920.jpg
916,KARAMENGA_GT VODAFONE,-1,8,KARAMENGA_GT VODAFONE/PB140967.jpg
9,0620WALEWALE,-1,8,0620WALEWALE/PB151049.jpg
20,0723KUMBUGU,-1,8,0723KUMBUGU/PB151180.jpg
31,0937NYAMKPALA,-1,8,0937NYAMKPALA/PB161227.jpg
37,1616SANKPALA,-1,8,1616SANKPALA/PB161349.jpg
52,1646 YAPEI Mtn,-1,8,1646 YAPEI Mtn/PB161405.jpg
797,FUFULSU_GT VODAFONE,-1,8,FUFULSU_GT VODAFONE/PB161433.jpg
44,1638FULFULSU,-1,8,1638FULFULSU/PB161459.jpg
12,0669DOMEABRA,-1,8,0669DOMEABRA/PB181474.jpg
719,DOMEABRA VODAFONE,-1,8,DOMEABRA VODAFONE/PB181497.jpg
720,DOMEABRA_TAMALE-ROAD 03 EXPRESSO,-1,8,DOMEABRA_TAMALE-ROAD 03 EXPRESSO/PB181509.jpg
628,BUIPE VODAFONE,-1,8,BUIPE VODAFONE/PB181574.jpg
46,1640MPEASIM,-1,8,1640MPEASIM/PB191641.jpg
21,0725DAMANGO,-1,8,0725DAMANGO/PB191679.jpg
1074,LARABANGA GT_VODAFONE,-1,8,LARABANGA GT_VODAFONE/PB191733.jpg
47,1641GRUPE,-1,8,1641GRUPE/PB201808.jpg
43,1635SAWLA,-1,8,1635SAWLA/PB201893.jpg
53,1647 GONDO_TUNA Mtn,-1,8,1647 GONDO_TUNA Mtn/PB201948.jpg
48,1642BAMBOI,-1,8,1642BAMBOI/PB212064.jpg
624,BUI_CITY VODAFONE,-1,8,BUI_CITY VODAFONE/PB212117.jpg
50,1644 TINGA_JK Mtn,-1,8,1644 TINGA_JK Mtn/PB212171.jpg
83,2601 GURUGU MTN,-1,8,2601 GURUGU MTN/PC010007.jpg
145,2937 NYOHINI MTN,-1,8,2937 NYOHINI MTN/PC020188.jpg
170,3645 KAKPAYILI_2 MTN,-1,8,3645 KAKPAYILI_2 MTN/PC020336.jpg
32,0939TAMALE_6,-1,8,0939TAMALE_6/PC020345.jpg
6866,0279GHA_AIRWAYS,-1,8,0279GHA_AIRWAYS/SAM_1065.jpg
2190,GHANA AIRWAYS,-1,8,GHANA AIRWAYS/SAM_1078.JPG
6781,0120SUNRISE,-1,8,0120SUNRISE/SAM_1158.jpg
2218,KANDA AIRTEL,-1,8,KANDA AIRTEL/SAM_1191.JPG
2427,RINGWAY,-1,8,RINGWAY/SAM_1263.jpg
2096,BUBUASHIE TIGO,-1,8,BUBUASHIE TIGO/SAM_1993.jpg
2523,TUDU,-1,8,TUDU/SAM_2186.jpg
2523,TUDU,-1,8,TUDU/SAM_2240.jpg
2402,PALLADIUM,-1,8,PALLADIUM/SAM_2329.jpg
6793,0221PALLADIUM,-1,8,0221PALLADIUM/SAM_2341.jpg
2402,PALLADIUM,-1,8,PALLADIUM/SAM_2341.jpg
979,Koforidua Highcourt,-1,8,Koforidua Highcourt/SDC10100.jpg
961,KOFORIDU RS.GT,-1,8,KOFORIDU RS.GT/SDC10174.jpg
1392,SUHUM GT,-1,8,SUHUM GT/SDC10358.jpg
1174,NKAWKAW GT,-1,8,NKAWKAW GT/SDC10708.jpg
11,0638 NKAWKAW MTN,-1,8,0638 NKAWKAW MTN/SDC10832.jpg
1118,MPRAESO_EX,-1,8,MPRAESO_EX/SDC11024.jpg
73,1874 NANKESE MTN,-1,8,1874 NANKESE MTN/SDC11029.jpg
1116,MPRAESO GT,-1,8,MPRAESO GT/SDC11345.jpg
1272,Osenase,-1,8,Osenase/SDC11624.jpg
1249,Oda Airtel,1,9,Oda Airtel/20.jpg
2220,1154 KANESHIE,1,9,1154 KANESHIE/2012060067.jpg
4828,1135MATAHEKO,1,9,1135MATAHEKO/2012060116.jpg
1210,NSAWAM-7,1,9,NSAWAM-7/100_3265.jpg
1198,NSAWAM,1,9,NSAWAM/100_3574.jpg
1277,OSINO GT,1,9,OSINO GT/100_4234.jpg
909,KADE-3,1,9,KADE-3/100_5034.jpg
1209,NSAWAM-4,1,9,NSAWAM-4/100_8172.jpg
122,2796 NEW TAFO,1,9,2796 NEW TAFO/100_9781.jpg
1775,ASOKUSA POLICE ST,1,9,ASOKUSA POLICE ST/20121012_080735.jpg
1791,ATWIDIE,1,9,ATWIDIE/20121013_170711.jpg
1792,ATWIMA KAUA,1,9,ATWIMA KAUA/20121015_094725.jpg
2136,DARKUMAN,1,9,DARKUMAN/2012-11-10-220.jpg
2154,Dome Asafo Adjei,1,9,Dome Asafo Adjei/2012-11-12-507.jpg
1631,0FFINSO,1,9,0FFINSO/Audit Trip 149.jpg
1639,ABOABO 3,1,9,ABOABO 3/cs0281_ct0003_se0056_1350634279871.jpg
1672,Afful Nkwanta,1,9,Afful Nkwanta/cs0328_ct0003_se0056_1350308520919.jpg
614,BOSOMOISO GBC,1,9,BOSOMOISO GBC/cs0574_null_null_1352292874437.jpg
1343,SEKONDI 1,1,9,SEKONDI 1/cs0575_null_null_1351948814145.jpg
1136,NARKWA MTN,1,9,NARKWA MTN/cs0636_ct0003_se0056_DSC02724.jpg
474,ASAWINSO MTN,1,9,ASAWINSO MTN/cs0695_null_null_1351501723600.jpg
1645,0628ABOFOR,1,9,0628ABOFOR/cs0785_ct0011_se0038_1351332959987.jpg
1669,Adum Central,1,9,Adum Central/cs0788_ct0004_se0016_1351350494085.jpg
1648,ABREPO,1,9,ABREPO/cs0789_ct0003_se0056_1350731104832.jpg
1638,ABOABO 2,1,9,ABOABO 2/cs1023_ct0008_se0022_1352031908422.jpg
2557,1622KONGO,1,9,1622KONGO/cs1025_ct0003_se0056_2129.jpg
1688,Agric Nzema,1,9,Agric Nzema/cs1066_ct0011_se0038_1351867957402.jpg
779,ESSAM DBISO MTN,1,9,ESSAM DBISO MTN/cs1171_null_null_1351766580799.jpg
993,KOJOKROM MTN,1,9,KOJOKROM MTN/cs1172_null_null_1352015573723.jpg
1655,ADANSI_BROFOYEDRU,1,9,ADANSI_BROFOYEDRU/cs1382_ct0003_se0047_1352220099670.jpg
1660,Adiembra Fakyembra ,1,9,Adiembra Fakyembra /cs1390_ct0003_se0064_1350634317350.jpg
1320,SAMREBOI_GT,1,9,SAMREBOI_GT/cs1488_null_null_1351337533359.jpg
102,2726TARKWA_5,1,9,2726TARKWA_5/cs1491_null_null_1351701032994.jpg
108,2735ESSEM_SIKMA,1,9,2735ESSEM_SIKMA/cs1504_null_null_1351965237810.jpg
688,DCS_SEKONDI_GT,1,9,DCS_SEKONDI_GT/cs1505_null_null_1351506858956.jpg
992,KOJOKROM II,1,9,KOJOKROM II/cs1509_null_null_1350994648386.jpg
1073,LAGOS_TOWN,1,9,LAGOS_TOWN/cs1509_null_null_1350995464100.jpg
1427,TAKORADI MAMIBIA,1,9,TAKORADI MAMIBIA/cs1511_null_null_1351587345828.jpg
1342,SEKONDI,1,9,SEKONDI/cs1512_null_null_1351583632869.jpg
115,2748BUAKO,1,9,2748BUAKO/cs1513_ct0011_se0010_1350480396021.jpg
777,ESIKADO,1,9,ESIKADO/cs1514_null_null_1351494249886.jpg
180,3882WEST_FIJAI,1,9,3882WEST_FIJAI/cs1591_null_null_1351061710275.jpg
1299,PIPEANO 1800,1,9,PIPEANO 1800/cs1593_null_null_1350981908782.jpg
118,2757NSAWORA,1,9,2757NSAWORA/cs1598_null_null_1351685850048.jpg
1614,YADABRAA,1,9,YADABRAA/cs1599_null_null_1351520080797.jpg
1573,WASSA AKROPONG,1,9,WASSA AKROPONG/cs1602_null_null_1350990038725.jpg
1562,WAGP_PROJECT_SITE,1,9,WAGP_PROJECT_SITE/cs1605_null_null_1351581392565.jpg
1509,TETEKU BOKAZU,1,9,TETEKU BOKAZU/cs1611_null_null_1351514642830.jpg
1481,TDI AIRPORT RIDGEZ,1,9,TDI AIRPORT RIDGEZ/cs1612_null_null_1351495808825.jpg
1477,TANOKROM WEST TIGO,1,9,TANOKROM WEST TIGO/cs1615_null_null_1351058532911.jpg
1476,TANOKROM WEST AIRTEL,1,9,TANOKROM WEST AIRTEL/cs1619_null_null_1351257947349.jpg
126,2846SANYAANO,1,9,2846SANYAANO/cs1621_ct0001_se0012_1350391848054.jpg
1475,TANOKROM EAST TIGO,1,9,TANOKROM EAST TIGO/cs1622_null_null_1351524194271.jpg
1474,TANOKROM EAST AIRTEL ,1,9,TANOKROM EAST AIRTEL /cs1625_null_null_1351608618561.jpg
1395,SUHUM-NT,1,9,SUHUM-NT/cs1930_ct0011_se0018_SDC10333.jpg
1435,TAKORADI_EX_GT,1,9,TAKORADI_EX_GT/cs1944_null_null_1351075144694.jpg
1420,TAKORADI (OLD162),1,9,TAKORADI (OLD162)/cs1945_null_null_1351073263961.jpg
1434,TAKORADI SIC VODAFONE,1,9,TAKORADI SIC VODAFONE/cs1948_null_null_1351498589714.jpg
1432,TAKORADI SHOP,1,9,TAKORADI SHOP/cs1985_null_null_1351577316347.jpg
1429,TAKORADI NEW SITE ,1,9,TAKORADI NEW SITE /cs2265_null_null_1351093812844.jpg
1428,TAKORADI MPINTSIN,1,9,TAKORADI MPINTSIN/cs2284_null_null_1351339879697.jpg
1426,TAKORADI KOJOKROM,1,9,TAKORADI KOJOKROM/cs2285_null_null_1351341082998.jpg
1868,FUMESUA,1,9,FUMESUA/cs2286_ct0011_se0038_1350831152168.jpg
1873,FUMESUA 4,1,9,FUMESUA 4/cs2357_ct0004_se0016_1350726852099.jpg
1424,TAKORADI AIRPORT RIDGE,1,9,TAKORADI AIRPORT RIDGE/cs2394_null_null_1351164433497.jpg
1409,SUPOMU DUNKWA AIRTEL,1,9,SUPOMU DUNKWA AIRTEL/cs2396_null_null_1351696228151.jpg
1378,SOPUMU DUNKWA TIGO,1,9,SOPUMU DUNKWA TIGO/cs2592_null_null_1351407704127.jpg
1362,SKY TV,1,9,SKY TV/cs2592_null_null_1351408196135.jpg
1355,SHAMA JUNCTION 1800,1,9,SHAMA JUNCTION 1800/cs2629_null_null_1351090479950.jpg
1357,SHAMA TIGO,1,9,SHAMA TIGO/cs2732_null_null_1351260828038.jpg
1358,SHAMA_TIGO,1,9,SHAMA_TIGO/cs2789_null_null_1351429481982.jpg
1349,SEKONDI_GT,1,9,SEKONDI_GT/cs2791_null_null_1351417052532.jpg
1347,SEKONDI ESIKADO,1,9,SEKONDI ESIKADO/cs2874_null_null_1351579404424.jpg
1341,SEFWI_WIAWSO VODAFONE,1,9,SEFWI_WIAWSO VODAFONE/cs2899_null_null_1351067408569.jpg
1336,SEFWI BOODI,1,9,SEFWI BOODI/cs2901_null_null_1350986346335.jpg
1906,KAASE 2,1,9,KAASE 2/cs2948_ct0006_se0026_1352198976057.jpg
1335,SEFWI BOAKO,1,9,SEFWI BOAKO/cs3039_null_null_1351412955095.jpg
1333,SEFWI ASAWINSO AIRTEL,1,9,SEFWI ASAWINSO AIRTEL/cs3060_null_null_1351699902053.jpg
904,KADE,1,9,KADE/cs3915_ct0003_se0056_1004932.jpg
468,ASANKRAGWA  VOD,1,9,ASANKRAGWA  VOD/cs4000_null_null_1351601506637.jpg
1661,Adomanu,1,9,Adomanu/cs4377_ct0003_se0064_1351163206079.jpg
637,Cape Three Points,1,9,Cape Three Points/cs4640_null_null_1352018534475.jpg
