,,,,,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
4,0960JEMA,-1.77051000,7.90351000,900MHZ,KINTAMPO,Brong Ahafo Region,mtn,0,0.00000097,0,0,957.2,0.000019,19,0.97,1856,0.000054,54,0.02,957.7,0.000024,24,0.57,1865,0.000052,52,0.03,954.2,0.000022,22,0.69,1856,0.000059,59,0.01,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,0961KINTAMPO_2,-1.72943000,8.05142000,900MHZ,KINTAMPO,Brong Ahafo Region,mtn,0,0.00000063,0,0,955.2,0.000024,24,0.63,1844,0.000034,34,0.23,2163,0.000063,63,0,955.2,0.000019,19,0.97,1841,0.000034,34,0.3,2123,0.000061,61,0.01,954.7,0.000019,19,1.06,1844,0,29,0.42,2128,0,57,0.01,,,
4,0963NKORANSA_2,-1.71067000,7.56354000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0.0000003,0,0,1838,0.000032,32,0.3,2121,0.00005,50,0.04,959.2,0.000015,15,1.62,1860,0.000033,33,0.28,2123,0.000049,49,0.05,958.2,0.000018,18,1.12,1860,0.000033,33,0.27,2123,0,47,0.07,957.7,0,20,0.93,,,
4,0970SUBINSO,-2.08088000,7.86201000,900MHZ,WENCHI,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,958.2,0.000027,27,0.45,958.2,0.000028,28,0.43,957.2,0.000029,29,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,1608NKWABENG,-1.74178000,7.49461000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0.00000074,0,0,959.2,0.000022,22,0.74,1860,0.000046,46,0.06,958.2,0.000025,25,0.52,1860,0.000044,44,0.07,953.2,0.000028,28,0.36,1860,0.000045,45,0.07,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,Jamasi,-1.44194091,6.99167071,GSM 900,Sekyere South,Ashanti,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Kwame Danso,-0.68578248,7.7287004,GSM 900,Sene,Brong Ahafo,tigo,0,0,0,0,0,0,0,0,0,0,0,0,946.7,0.000037,37,0.12,946.7,0.000043,43,0.07,953.7,0.000033,33,0.21,1842,0.000043,43,0.1,1841,0.000045,45,0.07,1841,0,47,0.05,0,0,0,0,,,
4,NKORANZA,-1.70000452,7.55638472,GSM 900,nkoranza,BRONG AHAFO,tigo,0,0,0,0,0,0,0,0,950.2,0.000047,47,0.04,1860,0.00004,40,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Techiman,-1.91944793,7.58913508,GSM 900,Techiman Municipal,Brong Ahafo,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000032,32,0.25,1851,0.000042,42,0.1,2163,0.000046,46,0.06,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,Pig Farm,-0.19555934,5.59833302,GSM 900,Accra Metropolis,Greater Accra,tigo,0,0,0,0,955.1,0.00023588,235.88,0.7,945.7,0.00002137,21.37,0.21,940.2,0.0002099,209.9,0.2,945.7,0.00004669,46.69,0.31,945.7,0.00003092,30.92,0.27,945.7,0.00003373,33.73,0.26,945.7,0.0000284,28.4,0.24,945.7,0.00002514,25.14,0.25,948.9,0.0000262,26.2,0.23,,,
