site id,site name,location,operator,f1(MHz),pd1(W/m2),pd1(W/m2),pd1(W/m2),ic1(W/m2),f2(MHz),,pd2(W/m2),pd2(W/m2),ic2(W/m2)f3(MW/m2),f3(MHz),pd3(W/m2),pd3(W/m2),ic3(W/m2),  f4(MHz),pd4(W/m2),pd4(W/m2),ic4(W/m2),f5(MHz),pd5(W/m2),pd5(W/m2),ic5(W/m2),f6(MHz),pd6(W/m2),pd6(W/m2),ic6(W/m2),f7(MHz),pd7(W/m2),pd7(N/m2),ic7(W/m2),f8(MHz),pd8(W/m2),pd8(W/m2),ic8(W/m2),f9(MHz),pd9(W/m2),pd(W/m2),ic9(W/m2),f10(MHz),pd10(W/m2),pd(W/m2),1c10
,1858BOSO_2,BOSO,MTN,958.2,0.0001631,163.08,0.00016308,0.58,959.2,,0.0003649,364.86,0.87,958.7,0.0003622,362.16,0.86,958.7,0.0001415,141.46,0.56,958.7,0.0003399,339.85,0.84,958.2,0.0002666,266.57,0.79,958.2,0.0005278,527.81,1.05,957.7,0.0005701,570.08,1.09,958.7,0.0005937,593.65,1.17,952.7,0.0009928,992.76,1.44
,Chinderi,CHINDIRI,AIRTEL,953.2,0.00007102,71.02,,0.38,952.7,,0.00008642,86.42,0.42,943.7,0.00006342,63.42,0.36,952.7,0.00013853,138.53,0.54,943.7,0.00006426,64.26,0.37,943.7,0.00004026,40.26,0.29,943.7,0.00006548,65.48,0.37,953.7,0.00004644,46.44,0.31,958.2,0.00021519,215.19,0.67,943.7,0.00025559,255.59,0.73
3757,3757DAGBAMATE,DAGBAMATE,MTN,959.2,0.0000018,1.77,0.00000177,0.06,956.7,,0.0000014,1.44,0.05,956.7,0.0000012,1.15,0.04,958.2,0.000002,2.01,0,957.2,0.000002,2,0.06,956.7,0.0000021,2.07,0.06,957.2,0.0000021,2.14,0.06,957.2,0.0000019,1.87,0.06,959.2,0.0000016,1.59,0.08,959.2,0.0000015,1.53,0.05
,1782DAMANKO,DAMANKO,MTN,958.7,0.0000367,36.72,0.00003672,0.27,958.7,,0.0001482,148.22,0.59,956.7,0.0002318,231.83,0.65,958.6,0.0003899,389.85,0.91,952.2,0.00017,170,0.65,952.2,0.0003602,360.2,0.81,959.2,0.0001464,146.43,0.55,954.2,0.0003606,360.59,0.66,957.7,0.0006991,699.13,1.2,956.2,0.0003554,355.39,0.65
,0853DAMBAI,DAMBAI,MTN,958.2,0.0004335,433.45,0.00043345,0.03,958.2,,0.0003566,356.62,0.02,958.2,0.0003943,394.3,0.02,956.7,0.0004172,417.17,0.02,958.2,0.0004773,477.28,0.03,958.2,0.000453,453.03,0.03,958.2,0.0005119,511.89,0.03,958.2,0.0006125,612.47,0.03,958.2,0.0005291,529.11,0.03,959.2,0.0006472,647.23,0.03
,Dedeso(Bedesu),DEDESO,EXPRESSO,948.7,0.00060777,607.77,,1.14,953.7,,0.00066482,664.82,1.18,983.7,0.00062114,621.14,1.14,998.7,0.00030786,307.86,1.13,945.7,0.00066038,660.38,1.28,953.7,0.00092828,928.28,1.45,984.7,0.0004319,431.9,0.95,943.7,0.00021593,215.93,0.07,943.7,0.00031998,319.98,0.87,943.6,0.0003054,305.4,0.8
,Dodo Amanfrom,DODO AMENFROM,EXPRESSO,936.2,0.00003014,30.14,,0.27,931.8,,0.00004939,49.39,0.35,931.7,0.00004928,49.28,0.33,935.2,0.00004291,42.91,0.33,931.7,0.00002624,26.24,0.24,936.2,0.00003237,32.37,0.28,935.2,0.00005573,55.73,0.36,935.2,0.00004942,49.42,0.34,935.2,0.00002614,26.14,0.23,935.2,0.00001757,17.57,0.19
,DZITA,DZIFA,VODAFONE/TIGO,945.7,0.00007544,75.44,,0.4,954.7,,0.00004241,42.41,0.29,950.2,0.00004116,41.16,0.32,950.2,0.00017442,174.42,0.6,950.7,0.00004261,42.61,0.48,945.7,0.00008204,82.04,0.41,943.7,0.00002381,23.81,0.23,945.7,0.00038,380,0.28,951.2,0.00009557,95.57,0.44,951.2,0.0006996,699.6,0.38
,DZODZE,DZODZE,AIRTEL,953.2,0.00011918,119.18,,0.5,958.2,,0.00004516,45.16,0.31,944.7,0.00001794,17.94,0.19,934.92,0.00003885,38.85,0.28,944.7,0.00006775,67.75,0.38,944.7,0.00003192,31.92,0.26,938.2,0.00004855,48.55,0.32,938.2,0.00005492,54.92,0.38,953.2,0.00001843,18.43,0.19,938.2,0.00022712,227.12,0.69
,DZODZE,DZODZE,EXPRESSO,944.7,0.00000858,8.58,,0.13,944.7,,0.00000648,6.48,0.11,938.2,0.0000174,17.4,0.2,938.2,0.0000119,11.9,0.19,953.2,0.00004053,40.53,0.29,938.2,0.00001437,14.37,0.18,944.7,0.00002906,29.06,0.24,938.2,0.00002168,21.68,0.21,938.2,0.00002281,22.81,0.24,944.7,0.00001007,10.07,0.14
,FRANKADUA,FRANKADUA,AIRTEL,957.7,0.00051824,518.24,,0.03,958.7,,0.00038224,382.24,0.04,958.7,0.00000116,1.16,0.04,958.7,0.0006879,687.9,0.04,953.7,0.00000127,1.27,0.05,958.7,0.00000143,1.43,0.05,958.7,0.00000139,1.39,0.05,958.7,0.00016464,164.64,0.6,958.7,0.0001207,120.7,0.54,958.7,0.00006823,68.23,0.34
,3750GEFIA,GEFIA,MTN,959.2,0.0000037,3.69,0.00000369,0.08,959.2,,0.0000027,2.71,0.07,953.7,0.0000029,2.93,0.07,953.7,0.0000056,5.63,0.11,958.2,0.0000036,3.64,0.08,958.7,0.0000037,3.72,0.08,953.7,0.0000021,2.11,0.06,958.2,0.0000054,5.41,0.1,959.2,0.000003,2.99,0.07,958.2,0.0000021,2.05,0.06
,3757DAGBAMATE,GEFIA,MTN,959.2,0.0000018,1.77,0.00000177,0.06,956.7,,0.0000014,1.44,0.05,956.7,0.0000012,1.15,0.04,958.2,0.000002,2.01,0.06,957.2,0.000002,2,0.06,956.7,0.0000021,2.07,0.06,957.2,0.0000021,2.14,0.06,959.2,0.0000019,1.87,0.06,959.2,0.0000016,1.59,0.05,959.2,0.0000015,1.53,0.05
,1725GOLOKWATI,GOLOKNABI,MTN,953.2,0.0000068,6.8,0.0000068,0.3,955.7,,0.0005828,582.81,.1.13,953.2,0.0001813,181.28,0.76,952.2,0.0004538,453.76,0.97,955.7,0.0006134,613.4,1.13,940.7,0.0002669,266.93,0.89,955.7,0.0005814,581.35,1.54,943.7,0.0009184,918.38,1.48,947.4,0.0002952,295.22,0.78,953.2,0.0000068,6.79,0.41
,1726HAVE_ETOE,HAVER,MTN,953.7,0.0000027,2.7,0.0000027,0.08,573.2,,0.0005456,545.57,1.06,958.7,0.0003175,317.52,0.81,959.2,0.0008334,833.39,1.04,953.2,0.0004716,471.58,1.01,953.2,0.000174,173.96,0.02,953.2,0.0005243,524.29,1.07,953.2,0.0001799,179.91,0.61,958.2,0.0005462,546.21,1.1,953.7,0.0004353,435.29,0.97
,0779HO,HO,MTN,944.7,0.0002704,270.39,0.00027039,0.78,946.2,,0.0006716,671.58,1.18,934.7,0.0005122,512.2,1.03,946.2,0.0008881,888.11,1.36,943.7,0.0001063,106.29,1.03,944.2,0.0009531,953.13,1.11,944.2,0.0000023,2.3,2.2,944.7,0.0000011,1.1,1.14,944.7,0.0000019,1.9,2,932.2,0.0008553,855.3,1.37
,0779HO,HO,MTN,957.2,0.000178,177.98,0.00017798,0.65,952.7,,0.0000028,2.79,0.07,954.2,0.0000472,47.21,0.31,952.7,0.0001468,146.81,0.55,941.2,0.0000814,81.42,0.41,958.7,0.0000397,39.7,0.31,951.7,0.0000039,3.85,0.09,956.7,0.0000015,1.45,0.05,957.7,0.0000045,4.51,0.09,957.7,0.0000033,3.27,0.08
,0779HO,HO,MTN,957.2,0.000069,68.97,0.00006897,0.38,988.2,,0.0000839,83.91,0.14,958.2,0.0002561,256.12,0.73,988.7,0.0002199,219.87,0.67,958.7,0.0001023,102.26,0.46,956.7,0.000264,264.01,0.77,958.7,0.0001493,149.31,0.55,958.7,0.0000187,18.73,0.19,953.7,0.0000599,59.92,0.35,958.2,0.0000551,55.07,0.33
,0886HO_2,HO,MTN,958.2,0.0009568,956.8,0.0009568,1.41,958.2,,0.0000012,1.19,1.64,958.2,0.0000012,1.15,1.75,957.7,0.0007114,711.43,1.21,956.2,0.0006506,650.58,1.17,957.2,0.0000011,1.11,1.53,958.2,0.0000017,1.74,1.9,956.2,0.0000013,1.28,1.63,957.7,0.0004128,412.83,0.92,957.7,0.0001361,136.07,0.53
,1898HO_3,HO,MTN,957.2,0.000069,68.97,0.00006897,0.38,958.2,,0.0000839,83.91,0.41,958.2,0.0002561,256.12,0.73,958.7,0.0002199,219.87,0.67,958.7,0.0001023,102.26,0.46,956.7,0.0002646,264.62,0.77,953.7,0.0001493,149.31,0.55,958.2,0.0000187,18.73,0.19,953.7,0.0000599,59.92,0.35,958.2,0.0000551,55.07,0.33
,1899HO_4,HO,MTN,957.2,0.0001878,187.79,0.00018779,0.7,955.2,,0.0002012,201.22,0.69,955.2,0.0001589,158.91,0.57,955.2,0.0002003,200.34,0.65,955.2,0.0001792,179.21,0.61,955.2,0.0002439,243.91,0.71,956.7,0.0003317,331.68,1.03,957.2,0.0001668,166.8,0.58,954.7,0.0001922,192.18,0.66,954.2,0.0001936,193.6,0.65
,1899HO_4,HO,MTN,957.2,0.0001878,187.79,0.00018779,0.7,955.2,,0.0000202,20.22,0.69,955.2,0.0001589,158.91,0.57,955.2,0.0002003,200.34,0.65,955.2,0.0001792,179.21,0.61,958.2,0.0002439,243.91,0.21,958.7,0.0003317,331.68,0.03,957.2,0.0001668,166.8,0.58,954.7,0.0001922,192.18,0.66,954.2,0.0001936,193.6,0.65
,2798HO_5,HO,MTN,957.7,0.0000796,79.55,0.00007955,1.42,959.2,,0.0008872,887.2,1.35,959.2,0.0006806,680.6,1.18,959.2,0.0008795,879.5,1.35,957.2,0.0005977,597.65,1.11,958.2,0.0000011,1.11,1.56,959.7,0.0003163,316.27,0.81,953.2,0.0001555,155.53,0.57,958.7,0.0004881,488.05,0.01,956.7,0.0001557,155.74,0.56
,2798HO_5,HO,MTN,957.7,0.0000796,79.55,0.00007955,1.42,959.2,,0.0008872,887.2,1.35,959.2,0.0006806,680.6,1.98,959.2,0.0008795,879.5,1.35,957.2,0.0005977,597.65,1.11,958.2,0.0000011,1.11,1.56,959,0.0003168,316.77,0.81,953.2,0.0001555,155.53,0.57,958.7,0.0004881,488.05,0.01,950.7,0.0001557,155.74,0.56
,2799HO_6,HO,MTN,957.7,0.0003826,382.57,0.00038257,0.91,953.7,,0.00012,119.98,0.51,954.79,0.0001585,158.48,0.49,954.7,0.0003571,357.1,0.86,954.7,0.0003142,314.23,0.8,954.2,0.0003136,313.62,0.8,954.7,0.000235,234.97,0.7,957.7,0.0000953,95.26,0.44,953.7,0.0001928,192.75,0.63,954.2,0.000009,9,0.46
,2799HO_6,HO,MTN,957.7,0.0003826,382.57,0.00038257,0.91,953.2,,0.00012,119.98,0.5,954.7,0.0001585,158.48,0.47,954.7,0.0003577,357.71,0.86,954.7,0.0003142,314.23,0.8,954.2,0.0003136,313.62,0.8,954.7,0.000235,234.97,0.7,957.7,0.0000953,95.26,0.44,953.7,0.0001928,192.75,0.63,954.2,0.000095,95,0.46
,3774NYIVE,HO,MTN,958.2,0.000018,18.04,0.00001804,0.19,958.7,,0.0002048,204.8,0.65,957.7,0.0001748,174.82,0.6,958.7,0.0002,200,0.71,958.2,0.000231,230.95,0.69,955.7,0.0002185,218.49,0.67,955.7,0.0000609,60.86,0.35,956.7,0.0001031,103.13,0.46,957.2,0.0002446,244.55,0.71,953.2,0.0002044,204.4,0.67
,3785DZOLO,HO,MTN,958.7,0.000006,6.02,0.00000602,0.11,957.7,,0.0000091,9.1,0.13,958.2,0.0000118,11.78,0.15,955.7,0.0000153,15.3,0.17,958.7,0.0000091,9.09,0.13,955.7,0.0000027,2.65,0.07,958.7,0.0000021,2.05,0.06,956.7,0.0000018,1.8,0.06,958.2,0.0000015,1.51,0.06,957.7,0.0000021,2.08,0.06
,3857HO_FOREST,HO,MTN,956.2,0.0000011,1.07,0.00000107,1.49,956.2,,0.0006875,687.45,1.19,953.7,0.000417,417,0.93,953.7,0.000391,390.95,0.7,957.7,0.000567,566.98,1.08,957.2,0.0009572,957.17,1.41,958.2,0.0004208,420.81,0.93,952.7,0.0005724,572.38,1.09,957.7,0.0004976,497.59,1.03,954.7,0.0006777,677.68,1.2
,3858HO_CK_ROAD,HO,MTN,956.7,0.0001402,140.23,0.00014023,0.54,955.7,,0.0002408,240.84,0.7,957.2,0.000102,101.95,0.46,957.2,0.0003447,344.72,0.84,957.2,0.0002407,240.66,0.7,957.2,0.0001971,197.08,0.75,957.2,0.0002571,257.1,0.74,956.7,0.0003622,362.18,0.87,955.7,0.0006429,642.86,1.18,958.2,0.000439,438.99,0.95
,3858HO_CK_ROAD,HO,MTN,956.7,0.0001402,140.23,0.00014023,0.54,955.7,,0.0002408,240.84,0.7,957.2,0.000102,101.95,0.46,957.2,0.0003447,344.72,0.84,957.2,0.0002407,240.66,0.7,957.2,0.0001971,197.08,0.75,957.2,0.0002571,257.1,0.24,956.7,0.0003622,362.18,0.87,933.7,0.0006429,642.86,1.18,958.2,0.0004383,438.29,0.98
3859,3859HO_KPODI,HO,MTN,958.2,0.0004713,471.25,0.00047125,1.06,958.2,,0.000206,205.99,0.65,958.7,0.0002185,218.51,0.67,958.7,0.0003136,313.55,0.8,958.7,0.0002929,292.89,0.78,958.7,0.0003913,391.28,0.9,959.7,0.000215,214.98,0.68,958.7,0.0007465,746.46,1.24,958.7,0.0002486,248.63,0.71,957.2,0.0007767,776.67,1.47
,3860HO_AWATDOME,HO,MTN,958.7,0.0006249,624.92,0.00062492,1.13,959.2,,0.0002942,294.2,0.28,957.7,0.0006986,698.55,1.2,957.2,0.0004461,446.1,0.96,957.2,0.0000011,1.08,1.48,958.2,0.000001,1.01,1.46,959.2,0.0003318,331.78,1.39,959.2,0.0003366,336.63,0.88,959.2,0.0004344,434.44,0.09,955.2,0.0004266,426.62,1.01
VR3861,3861HO_8,HO,MTN,959.2,0.0004141,414.06,0.00041406,1.01,959.2,,0.0004207,420.68,0.93,959.2,0.0000012,1.17,1.55,959.2,0.0006294,629.35,1.22,956.2,0.000001,1.01,1.45,956.2,0.0009883,988.33,1.43,959.2,0.000035,34.97,0.26,,0.000035,34.97,0.24,956.2,0.0000324,32.4,0.2,956.2,0.0000387,38.72,0.36
VR 3861,3861HO_8,HO,MTN,959.2,0.0004241,424.06,0.00042406,1.01,959.2,,0.0004207,420.68,0.93,959.2,0.0000012,1.17,1.55,959.2,0.0006294,629.35,1.22,956.2,0.000001,1.01,1.45,956.2,0.0009883,988.33,1.43,959.2,0.000035,34.97,0.26,956.2,0.0000324,32.4,0.24,956.2,0.0000325,32.45,0.24,956.2,0.0000387,38.72,0.36
,3862HO_KABAKABA,HO,MTN,954.2,0.0001811,181.1,0.0001811,0.61,959.2,,0.0001373,137.34,0.53,957.7,0.0003475,347.49,0.85,958.7,0.0001033,103.27,0.46,954.2,0.0001787,178.71,0.61,953.7,0.0000366,36.61,0.27,959.7,0.0000266,26.58,0.23,957.7,0.0003419,341.9,0.88,959.7,0.0001985,198.54,0.64,956.7,0.0000704,70.43,0.38
,3862HO_KABAKABA,HO,MTN,954.2,0.0001811,181.1,0.0001811,0.61,959.2,,0.0001373,137.34,0.53,953.7,0.0003475,347.49,0.85,958.7,0.0001033,103.27,0.46,954.2,0.0001787,178.71,0.61,953.7,0.0000361,36.1,0.27,959.7,0.0000266,26.58,0.23,957.7,0.0003419,341.9,0.85,959.7,0.0001985,198.54,0.64,956.7,0.0000704,70.43,0.38
4751,4751HO_FOREST2,HO,MTN,957.7,0.0000387,38.67,0.00003867,0.28,957.7,,0.0002539,253.85,0.72,957.2,0.0002697,269.72,0.75,957.2,0.0003328,332.76,0.83,955.2,0.000396,395.95,0.81,954.7,0.0001704,170.35,0.97,957.2,0.0002113,211.3,0.66,958.7,0.0002753,275.29,0.73,954.7,0.0000967,96.71,0.46,954.7,0.0004215,421.46,0.93
,4752HO_RESIDENT,HO,MTN,952.2,0.0003109,310.85,0.00031085,0.92,957.2,,0.0003967,396.7,0.95,958.2,0.0004595,459.48,0.97,957.7,0.0003561,356.07,0.86,958.2,0.0002319,231.93,0.71,955.2,0.0001019,101.89,0.46,955.2,0.000076,75.98,0.14,955.2,0.0002654,265.42,0.78,955.2,0.0000888,88.79,0.43,955.2,0.0000736,73.63,0.39
,4752HO_RESIDENT,HO,MTN,952.2,0.0003109,310.85,0.00031085,0.92,957.7,,0.0003967,396.7,0.95,958.2,0.0004595,459.48,0.97,957.7,0.0003561,356.07,0.86,958.2,0.0002319,231.93,0.71,955.2,0.0001019,101.89,0.46,955.2,0.000076,75.98,0.41,955.2,0.0002654,265.42,0.78,955.2,0.0000888,88.79,0.43,955.2,0.0000736,73.63,0.39
,4861HO_DEME_VF,HO,MTN,959.2,0.0000036,3.61,0.00000361,0.07,959.2,,0.0000006,0.62,0.13,957.2,0.0000134,13.42,0.26,957.2,0.0000053,5.3,0.1,955.2,0.0000043,4.33,0.07,959.2,0.0000059,5.91,0.11,957.2,0.0000078,7.81,0.72,957.2,0.0000102,10.21,0.14,957.2,0.0000105,10.53,0.15,957.2,0.0000078,7.75,0.12
,DCS_HO EX GT,HO,VODAFONE,951.2,0.00001796,17.96,,0.19,953.2,,0.00000683,6.83,0.11,953.2,0.00003061,30.61,0.25,950.2,0.00004217,42.17,0.34,953.2,0.00001744,17.44,0.19,955.2,0.00004802,48.02,0.31,954.2,0.00001494,14.94,0.18,955.2,0.00001842,18.42,0.19,951.2,0.00000683,6.83,0.13,951.2,0.00003214,32.14,0.27
,DCS_HO EX GT,HO,VODAFONE,951.2,0.00001796,17.96,,0.19,953.2,,0.00000683,6.83,0.11,953.2,0.00003061,30.61,0.25,980.2,0.00004217,42.17,0.34,953.2,0.00000744,7.44,0.19,955.2,0.00004802,48.02,0.31,954.2,0.00001494,14.94,0.18,955.2,0.00001842,18.42,0.19,951.2,0.00000683,6.83,0.13,951.2,0.00003214,32.14,0.27
,DCS_HO_RS_GT,HO,VODAFONE,952.2,0.00099006,990.06,,0.04,950.7,,0.00000869,8.69,0.13,949.2,0.00000714,7.14,0.12,954.2,0.0000014,1.4,0.05,949.7,0.00000107,1.07,0.04,957.7,0.00000163,1.63,0.05,957.9,0.00000722,7.22,0.06,954.2,0.00000283,2.83,0.07,957.7,0.00000491,4.91,0.1,952.2,0.00066586,665.86,0.03
,DZOLO,HO,VODAFONE/AIRTEL,950.7,0.00019356,193.56,,0.02,958.7,,0.00036697,366.97,0.03,956.7,0.00017546,175.46,0.02,948.7,0.00025371,253.71,0.02,948.2,0.00038237,382.37,0.02,948.2,0.00030562,305.62,0 .02    ,949.7,0.00044457,444.57,0.03, 9 51.7 ,0.00014567,145.67,0.01,949.7,0.00017216,172.16,0.01,950.7,0.0002392,239.2,0.02
,Ho,HO,TIGO,952.2,0.00000386,3.86,,0.09,952.2,,0.00000193,1.93,0.06,952.2,0.00094269,942.69,0.04,957.2,0.00030519,305.19,0.02,952.2,0.0001588,158.8,0.01,957.7,0.00040177,401.77,0.02,958.7,0.00000115,1.15,0.04,950.7,0.00040815,408.15,0.03,958.2,0.00091016,910.16,0.04,952.2,0.00000117,1.17,0.04
,Ho,HO,TIGO,952.2,0.00000386,3.86,,0.09,952.2,,0.00000193,1.93,0.06,952.2,0.00094269,942.69,0.04,957.2,0.00030519,305.19,0.02,952.2,0.0001588,158.8,0.01,957.7,0.00040177,401.77,0.02,958.7,0.00000115,1.15,0.04,956.7,0.00046815,468.15,0.03,958.2,0.00091016,910.16,0.04,952.2,0.00000117,1.17,0.04
,HO,HO,VODAFONE,949.7,0.00008329,83.29,,0.41,949.2,,0.00008666,86.66,0.42,952.7,0.00009838,98.38,0.48,948.7,0.00012856,128.56,0.52,951.2,0.00015512,155.12,0.57,948.2,0.00011717,117.17,0.49,981.7,0.00026777,267.77,0.75,981.2,0.00017372,173.72,0.62,981.2,0.0001946,194.6,0.64,951.2,0.00058179,581.79,1.1
,HO ,HO,AIRTEL/VDAFONE,944.7,0.0000431,43.1,,0.3,953.7,,0.0000061,6.1,0.11,959.2,0.00000896,8.96,0.11,945.2,0.00000413,4.13,0.09,959.2,0.00000609,6.09,0.21,943.7,0.00001733,17.33,0..19,948.2,0.0000099,9.9,0.14,987.2,0.00000861,8.61,0.18,944.7,0.00012091,120.91,0.01,953.7,0.00000213,2.13,0.1
,HO BANKOE,HO,AIRTEL,955.2,0.00000535,5.35,,0.11,959.2,,0.0000128,12.8,0.23,956.2,0.00001291,12.91,0.16,950.2,0.00002796,27.96,0.24,953.7,0.00030119,301.19,0.28,956.2,0.00004884,48.84,0.31,958.2,0.00002036,20.36,0.2,959.2,0.00012587,125.87,0.51,988.2,0.00015201,152.01,0.61,958.2,0.00007654,76.54,0.39
,HO BANKOE,HO,AIRTEL,955.2,0.00000535,5.35,,0.11,959.2,,0.0000128,12.8,0.23,956.2,0.00001291,12.91,0.16,986.2,0.00002796,27.96,0.24,953.7,0.00030119,301.19,0.28,956.2,0.00001484,14.84,0.31,958.2,0.00002036,20.36,0.2,959.2,0.00012587,125.87,0.51,958.2,0.00015201,152.01,0.61,958.2,0.00007654,76.54,0.39
,HO DOME,HO,AIRTEL,957.2,0.00023457,234.57,,0.02,957.7,,0.00000144,1.44,0.05,957.7,0.00000937,9.37,0.14,957.2,0.00000401,4.01,0.09,957.2,0.00000004,0.04,0.11,957.7,0.00000159,1.59,0.05,957.2,0.00021658,216.58,0.02,956.7,0.00014446,144.46,0.1,957.2,0.00000279,2.79,0.07,957.2,0.00025333,253.33,0.03
85,Ho Dome,HO,AIRTEL,957.2,0.00023457,234.57,,0.52,957.7,,0.00000144,1.44,0.05,957.7,0.00000937,9.37,0.14,957.2,0.00000401,4.01,0.09,957.2,0.00000004,0.04,0.11,957.7,0.00000159,1.59,0.05,957.2,0.0000026,2.6,0.02,956.7,0.00014446,144.46,0.01,957.2,0.00000279,2.79,0.07,957.2,0.00025333,253.33,0.03
,Ho Nuwe,HO,AIRTEL,953.7,0.00028219,282.19,,0.02,953.7,,0.00041103,411.03,0.02,952.2,0.00015959,159.59,0.01,953.3,0.00011853,118.53,0.01,953.7,0.00019194,191.94,0.02,953.7,0.00028758,287.58,0.02,953.7,0.00020936,209.36,0.02,953.7,0.0008086,808.6,0.04,953.7,0.00000112,1.12,0.04,953.7,0.00007116,71.16,0.03
,HO STADIUM,HO,TIGO,953.2,0.00001769,17.69,,0.19,957.2,,0.00001412,14.12,0.17,937.2,0.00001041,10.41,0.14,957.2,0.00000555,5.55,0.1,951.2,0.00000482,4.82,0.1,951.2,0.00001568,15.68,0.2,953.2,0.00001063,10.63,0.15,957.2,0.00001709,17.09,0.19,958.2,0.00000765,7.65,0.13,937.2,0.0000127,12.7,0.16
,HO STADIUM,HO,TIGO,953.2,0.00001769,17.69,,0.19,957.2,,0.00001412,14.12,0.17,937.2,0.001041,1041,0.14,957.2,0.00000555,5.55,0.1,951.2,0.00000482,4.82,0.1,951.2,0.00001568,15.68,0.2,953.2,0.00001063,10.63,0.15,937.2,0.00001709,17.09,0.19,955.2,0.00000765,7.65,0.13,937.2,0.0000127,12.7,0.16
,Ho Tsikpotar 1800,HO,TIGO,949.7,0.00008329,83.29,,0.41,949.2,,0.00008666,86.66,0.47,952.2,0.0009538,953.8,0.48,955.2,0.00030361,303.61,0.79,951.2,0.00025082,250.82,0.72,948.2,0.000191,191,0.63,951.2,0.00014931,149.31,0.55,955.2,0.00022028,220.28,0.67,952.7,0.00034542,345.42,0.71,948.7,0.00010569,105.69,0.47
,Ho Tsikpotar 1800,HO,TIGO,949.7,0.00008329,83.29,,0.41,949.2,,0.00008666,86.66,0.47,952.2,0.0009538,953.8,0.48,955.2,0.00030361,303.61,0.79,951.2,0.00025082,250.82,0.72,948.2,0.000191,191,0.63,851.2,0.00014931,149.31,0.55,955.2,0.00022028,220.28,0.67,952.7,0.00024542,245.42,0.71,948.7,0.00010569,105.69,0.47
,Ho(old123),HO,EXPRESSO,957.3,0.00077065,770.65,,0.05,959.6,,0.0000019,1.9,0.06,988.1,0.00026241,262.41,0.02,958.1,0.00000133,1.33,0.05,957.3,0.00033269,332.69,0.02,957.3,0.00000138,1.38,0.05,958.1,0.00058524,585.24,0.03,951.9,0.00098971,989.71,0.04,957.2,0.00000107,1.07,0.04,958.7,0.00093289,932.89,0.01
,HO_BARRACKS_NEW_TOWN,HO,VODAFONE,944.7,0.000043,43,,0.3,953.7,,0.0000064,6.4,0.11,959.2,0.00000596,5.96,0.11,945.2,0.00000413,4.13,0.09,959.2,0.00000609,6.09,0.11,943.7,0.00001737,17.37,0.19,945.3,0.0000099,9.9,0.14,957.2,0.00000861,8.61,0.15,944.7,0.00012091,120.91,0.01,953.7,0.00000213,2.13,0.1
,HO_BARRACKS_NEW_TOWN,HO,VODAFON/AIRTEL,944.7,0.000043,43,,0.3,953.7,,0.0000064,6.4,0.11,959.2,0.00000896,8.96,0.11,945.2,0.00000413,4.13,0.09,989.2,0.00000609,6.09,0.11,943.7,0.00001737,17.37,0.19,945.2,0.0000099,9.9,0.14,957.2,0.00000861,8.61,0.15,944.7,0.00017091,170.91,0.01,953.7,0.00000213,2.13,0.1
,HO_EX_GT,HO,VODAFONE/MTN,951.2,0.00001796,17.96,,0.19,953.2,,0.00000683,6.83,0.11,953.2,0.00003061,30.61,0.25,950.2,0.00004217,42.17,0.34,953.2,0.00001744,17.44,0.19,955.2,0.00004802,48.02,0.31,954.2,0.00001494,14.94,0.18,955.2,0.00001842,18.42,0.19,951.2,0.00000683,6.83,0.13,981.2,0.00003214,32.14,0.22
,HO_EX_GT,HO,VODAFONE,951.2,0.00001796,17.96,,0.19,953.2,,0.00000653,6.53,0.11,953.2,0.00003061,30.61,0.25,950.2,0.00004217,42.17,0.34,953.2,0.00001744,17.44,0.19,955.2,0.00004802,48.02,0.31,954.2,0.00001494,14.94,0.18,935.2,0.00001842,18.42,0.19,951.2,0.00000683,6.83,0.13,981.2,0.00003214,32.14,0.27
,HO_MAWULI_ESTATES,HO,VODAFONE,954.7,0.00007297,72.97,,0.39,954.2,,0.0000695,69.5,0.38,954.2,0.00006999,69.99,0.39,954.2,0.00009114,91.14,0.43,954.2,0.00020697,206.97,0.65,954.7,0.00004593,45.93,0.31,954.2,0.00011591,115.91,0.49,959.2,0.00005865,58.65,0.39,954.2,0.00012825,128.25,0.51,952.2,0.00002405,24.05,0.22
,HO_MAWULI_ESTATES,HO,VODAFONE,954.7,0.00007297,72.97,,0.39,954.2,,0.0000695,69.5,0.38,959.2,0.00006922,69.22,0.39,954.2,0.00000214,2.14,0.43,954.2,0.00020697,206.97,0.05,954.7,0.00004593,45.93,0.37,954.2,0.00011591,115.91,0.49,959.2,0.00005805,58.05,0.39,954.2,0.00012825,128.25,0.51,952.2,0.00002405,24.05,0.22
,HO_RS_GT,HO,VODAFONE,950.2,0.00099006,990.06,,0.04,950.7,,0.00000869,8.69,0.13,949.2,0.00000714,7.14,0.12,954.2,0.0000014,1.4,0.05,949.7,0.00000107,1.07,0.04,957.7,0.00000163,1.63,0.05,957.7,0.00000222,2.22,0.06,954.2,0.00000283,2.83,0.07,957.2,0.00000491,4.91,0.1,952.2,0.00066586,665.86,0.03
