CS1044,1641GRUPE,West Gonja,MTN,900,234.42,,0.07,1800,0,0.04,,2100,0,,0.07,900,257.90,,0.05,1800,0,,0.01,2100,0,,0.03,900,896.58,,0.01,1800,0.00,,0.07,2100,0,,0.01,,,,
CS1045,1642BAMBOI,Bole,MTN,900,745.43,,0.01,1800,0,0.01,,2100,0,,0.00,900,467.45,,0.03,1800,0.00,,0.01,2100,0.00,,0.08,900,516.27,,0.01,1800,0.00,,0.07,2100,0.00,,0.03,,,,
CS1046,1643BANDA,Bole,MTN,900,574.76,,0.01,1800,0,0.00,,2100,0,,0.01,900,216.14,,0.03,1800,0,,0.01,2100,0,,0.02,900,265.76,,0.00,1800,0,,0.01,2100,0,,0.04,,,,
CS1047,1644TINGA_JK,Bole,MTN,900,427.45,,0.01,1800,0,0.01,,2100,0,,0.00,900,441.83,,0.01,1800,0,,0.00,2100,0,,0.00,900,739.94,,0.01,1800,0,,0.07,2100,0,,0.03,,,,
CS1048,1645WAKAWAKA,Bole,MTN,900,570.24,,0.01,1800,0,0.02,,2100,0,,0.03,900,195.87,,0.04,1800,0,,0.00,2100,0,,0.07,900,175.75,,0.04,1800,0,,0.03,2100,0,,0.00,,,,
CS1049,1646YAPEI,West Gonja,MTN,900,306.68,,0.01,1800,125.26,0.03,,2100,0,,0.07,900,76.99,,0.05,1800,22.98,,0.00,2100,0,,0.00,900,150.32,,0.06,1800,145.32,,0.04,2100,0,,0.01,,,,
CS1050,1647GONDO_TUNA,Bole,MTN,900,869.16,,0.04,1800,998.49,0.01,,2100,0,,0.00,900,7.311,,0.08,1800,837.78,,0.01,2100,0,,0.01,900,183.17,,0.00,1800,844.84,,0.00,2100,0,,0.00,,,,
CS1051,1648PONG_TAMALE,Savelugu Nanton,MTN,900,86.86,,0.03,1800,0,0.02,,2100,0,,0.02,900,97.71,,0.05,1800,0,,0.03,2100,0,,0.01,900,143.09,,0.08,1800,0,,0.01,2100,0,,0.00,,,,
CS1052,1649LARABANGA,West Gonja,MTN,900,309.81,,0.01,1800,0,0.01,,2100,0,,0.01,900,62.53,,0.03,1800,0,,0.01,2100,0,,0.00,900,335.78,,0.01,1800,0,,0.03,2100,0,,0.02,,,,
CS1055,1652NANTON,Savelugu-Nanton,MTN,900,36.76,,0.03,1800,17.70,0.05,,2100,0.00,,0.02,900,55.47,,0.01,1800,0.00,,0.01,2100,0,,0.00,900,65.79,,0.01,1800,0,,0.00,2100,0,,0.00,,,,
